component,Sortfield,count,repaircost
COMPRESSOR,LV116,53,26280.74
COMPRESSOR,LV117,53,25002.32
COMPRESSOR,LV118,38,19414.72
COMPRESSOR,LV123,16,11811.69
COMPRESSOR,LV124,18,6811.84
COMPRESSOR,LV701,37,23885.97
COMPRESSOR,LV702,44,30579.63
COMPRESSOR,LV703,34,24239.29
COMPRESSOR,LV704,35,27998.05
COMPRESSOR,LV705,44,26412.6
COMPRESSOR,LV706,34,20986.81
COMPRESSOR,LV707,47,25614.59
COMPRESSOR,LV708,33,29109.14
COMPRESSOR,HV151,83,36406.08
COMPRESSOR,HV111,62,29481.39
COMPRESSOR,HV153,48,21212.2
COMPRESSOR,HV154,91,39606.83
COMPRESSOR,HV155,69,23596.11
COMPRESSOR,HV156,78,33794.24
COMPRESSOR,HV157,94,36444.94
COMPRESSOR,HV158,58,18247.49
COMPRESSOR,HV159,51,21538.41
COMPRESSOR,HV160,52,27130.3
EXHAUST,LV121,83,125796.95
EXHAUST,LV092,77,99043.02
EXHAUST,LV102,92,162225.39
EXHAUST,LV103,56,61961.23
EXHAUST,LV104,91,147528.74
EXHAUST,LV105,37,103674.61
EXHAUST,LV106,72,-68772.17
EXHAUST,LV107,71,-48982.89
EXHAUST,LV108,110,139183.1
EXHAUST,LV109,78,114870.22
EXHAUST,LV110,87,135928.83
EXHAUST,LV111,82,781299.89
EXHAUST,LV112,66,1065475.41
EXHAUST,LV113,78,977053.63
EXHAUST,LV114,107,708991.63
EXHAUST,LV115,53,161319.83
EXHAUST,LV116,77,1002114.22
EXHAUST,LV117,64,520627.04
EXHAUST,LV118,71,986855.06
EXHAUST,LV123,7,60950.04
EXHAUST,LV124,9,8279.12
EXHAUST,LV701,42,77879.65
EXHAUST,LV702,30,317971.61
EXHAUST,LV703,43,106641.46
EXHAUST,LV704,41,70946.66
EXHAUST,LV705,44,69064.17
EXHAUST,LV706,23,17982.87
EXHAUST,LV707,42,80970.72
EXHAUST,LV708,49,82484.35
EXHAUST,HV151,79,156602.74
EXHAUST,HV111,88,177292.72
EXHAUST,HV153,68,160699.81
EXHAUST,HV154,85,62660.28
EXHAUST,HV155,45,39703.88
EXHAUST,HV156,97,186281.69
EXHAUST,HV157,62,56383.85
EXHAUST,HV158,44,30932.81
EXHAUST,HV159,44,49717.9
EXHAUST,HV160,32,29616.83
WHEEL,LV121,44,41804.06
WHEEL,LV092,39,25822.93
WHEEL,LV102,64,51586.93
WHEEL,LV103,24,13662.14
WHEEL,LV104,60,47031.84
WHEEL,LV105,43,79989.79
WHEEL,LV106,48,47388.2
WHEEL,LV107,37,693636.57
WHEEL,LV108,33,27555.86
WHEEL,LV109,34,42190.73
WHEEL,LV110,40,41575.73
WHEEL,LV111,53,80284.52
WHEEL,LV112,50,81465.03
WHEEL,LV113,42,73267.34
WHEEL,LV114,62,117129
WHEEL,LV115,55,102005.73
WHEEL,LV116,50,125537.62
WHEEL,LV117,41,85509.88
WHEEL,LV118,62,100180.71
WHEEL,LV123,7,25332.47
WHEEL,LV124,4,2495.76
WHEEL,LV701,42,50436.4
WHEEL,LV702,44,58196.78
WHEEL,LV703,34,211821.08
WHEEL,LV704,32,35600.53
WHEEL,LV705,42,303255.15
WHEEL,LV706,34,32909.6
WHEEL,LV707,49,213310.67
WHEEL,LV708,39,80035.16
WHEEL,HV151,41,20539.76
WHEEL,HV111,40,23873.06
WHEEL,HV153,47,66268.3
WHEEL,HV154,47,44889.82
WHEEL,HV155,28,10380.35
WHEEL,HV156,44,32185.2
WHEEL,HV157,21,10693.29
WHEEL,HV158,24,14305.28
WHEEL,HV159,21,35800.96
WHEEL,HV160,16,6287.74
MISC,LV121,40,55046.96
MISC,LV092,25,118966.68
MISC,LV102,24,41614.83
MISC,LV103,20,41692.62
MISC,LV104,35,45010.18
MISC,LV105,36,56970.39
MISC,LV106,31,129664.57
MISC,LV107,32,133239.17
MISC,LV108,36,29002.61
MISC,LV109,36,38259.52
MISC,LV110,41,204983.61
MISC,LV111,78,198948.31
MISC,LV112,78,88077.55
MISC,LV113,62,74746.85
MISC,LV114,87,111656.48
MISC,LV115,80,132136.31
MISC,LV116,72,102657.65
MISC,LV117,64,51476.92
MISC,LV118,88,250069.88
MISC,LV123,14,30033.52
MISC,LV124,12,22401.64
MISC,LV701,36,112258.91
MISC,LV702,57,212775.66
MISC,LV703,44,239595.55
MISC,LV704,40,88391.27
MISC,LV705,40,80856.29
MISC,LV706,28,57762.36
MISC,LV707,36,39533.66
MISC,LV708,51,49701.27
MISC,HV151,83,734141.57
MISC,HV111,57,126123.29
MISC,HV153,84,162122.58
MISC,HV154,77,111777.38
MISC,HV155,78,146215.92
MISC,HV156,73,98521.75
MISC,HV157,56,45284.25
MISC,HV158,55,11000.62
MISC,HV159,61,20000.46
MISC,HV160,31,12222.9
MISC,HV198,3,854.71
